store_code,address,district,state,pin_code,phone,status
PMBJK02974,"551Ka, 34, Shakti Nagar, Po- Alambagh, Ps- Alambagh, LuckNo-w, Uttar Pradesh,",Lucknow,Uttar Pradesh,226050,,Operational
PMBJK02976,"Sector - 7/391, Jankipuram Vistar Yojna Sitapur Road, Po - Jankipuram, Ps- Jankipuram, LuckNo-w",Lucknow,Uttar Pradesh,226021,,Operational
PMBJK02999,"Eras LuckNo-w Medical College And Hospital, Sarfaraz Ganj Hardoi Road, Chowk, Thakurganj, Lucknow",Lucknow,Uttar Pradesh,226003,9415004188,Operational
PMBJK03232,"532/498 A, Banarsi Tola, Aliganj, LuckNo-w Near Neera Children Hospital",Lucknow,Uttar Pradesh,226024,8853111118,Operational
PMBJK03568,"L-6/ N-98, Kursi Road, Po- Aliganj, Ps- Vikas Nagar, LuckNo-w, Uttar Pradesh",Lucknow,Uttar Pradesh,226020,9557018870,Operational
PMBJK03598,"Shop No-6, Sankat Mochan Mandir Market, Senani Bihar Rae, Baraliey Road LuckNo-w",Lucknow,Uttar Pradesh,226010,,Operational
PMBJK03690,"D 1146, OldPicnic Spot Road, Indira Nagar, LuckNo-w Up 226001",Lucknow,Uttar Pradesh,226001,,Operational
PMBJK03710,"34 Ka Madhya Bazar, Gosaiganj, LuckNo-w, Up 226501",Lucknow,Uttar Pradesh,226501,9415520485,Operational
PMBJK03778,"A 2/287 Kanpur Road, F Extn Lda Colony, LuckNo-w, Uttar Pradesh",Lucknow,Uttar Pradesh,226012,9919479750,Operational
PMBJK03980,Balrampur District Hospital,Lucknow,Uttar Pradesh,271801,9984678812,Operational
PMBJK03981,Dr Ram Manohar Lohia Hospital,Lucknow,Uttar Pradesh,226010,9919364200,Operational
PMBJK03982,S.P.M. Civil Hospital,Lucknow,Uttar Pradesh,226001,9889050562,Operational
PMBJK03983,100 Beded Thakurganj Lucknow,Lucknow,Uttar Pradesh,226003,9473574285,Operational
PMBJK03984,"Rani Lakshmibai Joint ,Rajajipuram",Lucknow,Uttar Pradesh,226005,8090955895,Operational
PMBJK03985,"R. N. Joint Hospital,Kanpur Road",Lucknow,Uttar Pradesh,226012,7619999220,Operational
PMBJK03986,"B.R.D Mahanagar,Lucknow",Lucknow,Uttar Pradesh,226006,9506999139,Operational
PMBJK03990,Community Health Centre Mohanlalganj,Lucknow,Uttar Pradesh,226301,9452540672,Operational
PMBJK03991,Community Health Centre Gosaiganj,Lucknow,Uttar Pradesh,226028,9839534598,Operational
PMBJK03992,100Beded Hospital Bkt,Lucknow,Uttar Pradesh,226201,,Operational
PMBJK04034,"30A/4, Krishna Nagar, Lucknow",Lucknow,Uttar Pradesh,226013,9721114445,Operational
PMBJK04317,"A 2/267, Kanpur road, F Extension LDA Colony, Lucknow",Lucknow,Uttar Pradesh,226023,,Operational
PMBJK04455,"A-3/11, Ruchi Khand, Ist Sharda Nagar, Dil Kusha, Lucknow",Lucknow,Uttar Pradesh,226002,9795090101,Operational
PMBJK04654,"S-109, Indira Market, E Block Market, Rajajipuram, Lucknow",Lucknow,Uttar Pradesh,226017,9415026591,Operational
PMBJK04752,"Cantt. Central Hospital, Lucknow",Lucknow,Uttar Pradesh,226002,9044862400,Operational
PMBJK04970,"K-18/9, A- Block, Near Jalalpur Fatak, Rajajipuram",Lucknow,Uttar Pradesh,226017,8574588712,Operational
PMBJK05013,"Shop No-5, GF, Building No-639/001, Sugamau, Cimap",Lucknow,Uttar Pradesh,226015,9670088111,Operational
PMBJK05054,"Shop No-15, L GF, Aryavart Complex, Opp. New High Court, Faizabad Road, Indira Nagar",Lucknow,Uttar Pradesh,226016,9415546252,Operational
PMBJK05135,"MMS-1/82A, Sitapur Road, Yoajan Ram Bank Chauraha, Aliganj",Lucknow,Uttar Pradesh,226024,9565002500,Operational
PMBJK05171,"Shop No U GF-09, Shiv Kripa Complex, Plot No-5, Khasra No-40, Kharagpur Faridi Nagar, Indira Nagar",Lucknow,Uttar Pradesh,226016,8756789999,Operational
PMBJK05300,"143/66, Aminabad Jhandeywala, Park, Aminabad",Lucknow,Uttar Pradesh,226018,9450142979,Operational
PMBJK05613,"13, Shop No-13, Money Monta Complex, Plot No-9A, 9B, Sarswati Puram, Rai Bareily Road",Lucknow,Uttar Pradesh,226014,8739055887,Operational
PMBJK05631,"8, Career Institute of Medical Sciences & Hospital, Ghailla, Iim Road, Lucknow",Lucknow,Uttar Pradesh,226013,8138527150,Operational
PMBJK05683,"Raibarelie Road, SPGI, Lucknow",Lucknow,Uttar Pradesh,226015,9958901353,Operational
PMBJK05783,"H.No-532/377, Shop No. LB-2, Sona Chandi, Complex, Dandahiya Bazar, Aliganj",Lucknow,Uttar Pradesh,226024,8542902596,Operational
PMBJK05839,"Shop No-2, LGF, Shyam Kunj Ii, Saraswati Puram, Haibatmau, Mawaiya, Ward Inbrahimpur, Sgpgi",Lucknow,Uttar Pradesh,226014,9919390000,Operational
PMBJK05911,"King George's Medical University, Shah Mina Road Chowk",Lucknow,Uttar Pradesh,226003,8953969777,Operational
PMBJK06152,"6, Beg Plaza, Picnic Spot Road, Khurram Nagar, Vikas Nagar",Lucknow,Uttar Pradesh,226022,7905442938,Operational
PMBJK06233,"568Kha/139, Geetapalli, Alambagh",Lucknow,Uttar Pradesh,226005,9936506869,Operational
PMBJK06346,"Near Shitala Mata Mandir, Bijnaur Road",Lucknow,Uttar Pradesh,226002,9958901353,Operational
PMBJK06454,"H. No-109/007-109/005A, Zone-1, Yadunath Sanyal Ward, Model House, G.P.O.",Lucknow,Uttar Pradesh,226001,9415545055,Operational
PMBJK06473,"House No-645B/606, Plot No-127, First Floor, 60 Feet Road, Jankipuram",Lucknow,Uttar Pradesh,226021,8565851717,Operational
PMBJK06682,"Shop No-4, Mohd. Sultan Market, Tulsida Khala Kotwali Chowks Marg Opp. Bazar",Lucknow,Uttar Pradesh,226003,,Operational
PMBJK06693,"589 Khai/104, Sarpot Ganj, Telobagh Market, Dil Khusha",Lucknow,Uttar Pradesh,226002,,Operational
PMBJK06798,"Shop No-1, Plot No-B1, 2 and 3, Puraiya Ward Mahakavi Jai Shankar Prasad, Sitapur Road, Maharishi Vidya Mandir",Lucknow,Uttar Pradesh,226020,,Operational
PMBJK06811,"A-956, Sec-1, LDA Ashiyana",Lucknow,Uttar Pradesh,226012,,Operational
PMBJK07026,"Shop No-3, H.No. 12/665/3, UGF 1-2, Shahar Complex, Zone-7, Sec -12, Indira Nagar",Lucknow,Uttar Pradesh,226016,,Operational
PMBJK07052,"Shop No-8, Basement, Pal Shoppping Center, HO No-529D/235, Kalyanpur Nehru Vihar Kanchana Vihari Marg, Vikas Nagar",Lucknow,Uttar Pradesh,226022,,Operational
PMBJK07112,"Plot No: 16-17, Ground Floor, Near Buddeshwar Chauraha, Bajrang Vihar, Mohan Road, Bhaptamau",Lucknow,Uttar Pradesh,226017,,Operational
PMBJK07142,"Shop No-2, Ground Floor, H.No-3/258, Near Ram Bhawan Chauraha, Ward Rajeev Gandhi-II, Viram Khand-3, Gomti Nagar",Lucknow,Uttar Pradesh,226010,,Operational
PMBJK07185,"551, Gh/128Ka, Infront of Sadana Shoes Natkhera Road, Alambagh",Lucknow,Uttar Pradesh,226005,,Operational
PMBJK07186,"E-122, Ground Floor, Sector G. L.D.A. Colony, Kanpur Road",Lucknow,Uttar Pradesh,226012,,Operational
PMBJK07256,"614/P-2008A-CC, Upper Ground Floor, Balaji Complex, Priti Nagar, Dudauli",Lucknow,Uttar Pradesh,226021,,Operational
PMBJK07474,"498/006 A/2, First Floor, Daliganj , Opp Church Faizabad Road, Nirala Nagar",Lucknow,Uttar Pradesh,226020,,Operational
PMBJK07501,"H. No-555 Ga/A-363, Ground Floor, Zafar Kheda, Kard Chitra Gupt Nagar Alambagh, Manas Nagar",Lucknow,Uttar Pradesh,226023,,Operational
PMBJK07504,"Shop No-2, Ground Floor, Bargadi Magath Chandrika Devi Turn, Bakshi Ka Talab",Lucknow,Uttar Pradesh,226201,,Operational
PMBJK07574,"Shop No-1, Lower Ground Floor, Khasra No-175, Gudamba, Near Guru Govind Singh Spot College, Kursi Road, Jankipuram",Lucknow,Uttar Pradesh,226021,,Operational
PMBJK07575,"Lower Ground Floor-17, MDS Tower, Infront of Integral University & Medical College, Dhasauli Kursi Road, Basha",Lucknow,Uttar Pradesh,226026,,Operational
PMBJK07670,"2nd Floor, Village Behnan, Purwa Near Aby Bakar Masjid Vibhuti Khand, Gomti Nagar",Lucknow,Uttar Pradesh,226010,,Operational
PMBJK07678,"Shop No-3, Ground Floor, H No-5514, Sector-12, Near Kothari Park, Rajajipuram, Lucknow",Lucknow,Uttar Pradesh,226017,,Operational
PMBJK07713,"Shop No-1, UGF Plot No-11, Khasra No-689, Janta Complex, Prabhandh Nagar Mubarakpur, IIM",Lucknow,Uttar Pradesh,226013,,Operational
PMBJK07778,"Shop No: G-1, Ground Floor, H. No: 44-B, Murli Nagar, Cantt Road, Near Hussainganj Thana, Dilkusha",Lucknow,Uttar Pradesh,226002,,Operational
PMBJK07839,"Shop No-2, Ground Floor, Laxmi Plaza, 44A Cantt R",Lucknow,Uttar Pradesh,226001,,Operational
PMBJK07876,"Village Kanchanpur Matiyari, Near Wisdom Way Progressive Inter College Road, Matiyari Chauraha",Lucknow,Uttar Pradesh,226028,,Operational
PMBJK07951,"Shop No-1, UGF, 392 Ali Nagar, Sunehara Pandit Khera Krishna Nagar, Manas Nagar",Lucknow,Uttar Pradesh,226023,,Operational
PMBJK07954,"Ground Floor, Hanskhera Para, Manak Nagar",Lucknow,Uttar Pradesh,226011,,Operational
PMBJK08007,"Shop No-2, Ground Floor, Khasra No-729, Uttar Dhauna Juggaur",Lucknow,Uttar Pradesh,226028,,Operational
PMBJK08516,"Shop No-1, Ground Floor, Aaradhya Shoping Complex, Yashipuram Colony, Narpat Khera",Lucknow,Uttar Pradesh,226017,,Operational
PMBJK02241,"Shobit University, New Surya Nursing Home, Dulhada Chungi, Medipuram, Daurala, Meerut",Meerut,Uttar Pradesh,250221,7017054929,Operational
PMBJK02245,"42, Laskhar Ganj, Sardhana, Meerut, Po-Sardhana, Meerut",Meerut,Uttar Pradesh,250342,9557425555,Operational
PMBJK02348,"Vill-Jani Khurd, Baghpat Road, Meerut 250501",Meerut,Uttar Pradesh,250501,8894730162,Operational
PMBJK02517,Khirwa Road Near R. K. Farms N. H. -58 Kanker Khera Meerut(Up)-250001,Meerut,Uttar Pradesh,250001,9837567567,Operational
PMBJK02518,"B-2 Paradise Mall Near Kailash Nurshing Home, Baghpat Road, Meerut, Up-250002",Meerut,Uttar Pradesh,250002,9719450503,Operational
PMBJK02519,"216, Lala Mohmadpur, Po-Meerut Cantt., Ps-Kankerkhera 250001",Meerut,Uttar Pradesh,250001,9219512464,Operational
PMBJK02520,"69/70, New Market, Begum Bridge, Ps-Sadar 250001",Meerut,Uttar Pradesh,250001,9760036256,Operational
PMBJK02521,"Riyazul Dildar House, Ikla-Rasool Pur, Po-Parikshit Garh 224155",Meerut,Uttar Pradesh,224155,9758432359,Operational
PMBJK02522,"2052, Killa Stand, Tihai Mill Road, Po-Mawana, Ps-Mawana 250401",Meerut,Uttar Pradesh,250401,8979236945,Operational
PMBJK02523,"B-2, Paradise Mall, Baghpat Road, Opp. Kailash Nurshing Home, Po-Saturn Godam, Ps-Railway Road, Meerut 250002",Meerut,Uttar Pradesh,250002,8006196609,Operational
PMBJK02524,"H. No-705, Sector-2, Shastri Nagar, Post-Medical College, Nauchan, Meerut",Meerut,Uttar Pradesh,250004,9837090055,Operational
PMBJK02525,"Phooti Darwaja, Mawana Bus Stand, Main Road, Parikshitgarh, Ps- Meerut, 250406",Meerut,Uttar Pradesh,250406,7037670301,Operational
PMBJK02526,"Munnalal, Hastinapur Road, Khari Chowk, Mawana, Post - Mawana, Ps- Mawana, Meerut, Uttar Pradesh, 250401",Meerut,Uttar Pradesh,250401,9411616050,Operational
PMBJK02529,"Shop No-9, Raj Height M Block, Ganga Nagar, Po- Ganga Nagar, Ps-Ganga Nagar, Meerut, Uttar Pradesh, 250001",Meerut,Uttar Pradesh,250001,9456962070,Operational
PMBJK02530,"160, Near Kutchery Crossing, Po- Meerut Cantt. Civil Lines, Meerut, Uttar Pradesh, 250001",Meerut,Uttar Pradesh,250001,9837070072,Operational
PMBJK02531,"243, Garh Road, Near Nandan Cinema, Po- Meerut City, Ps- Nauchandi Meerut, Meerut, Uttar Pradesh, 250002",Meerut,Uttar Pradesh,250002,9837042109,Operational
PMBJK02532,"L-15, Phase 2 Pallavpuram, Po- Modipuram, Ps- Daurala, Meerut, Meerut, Uttar Pradesh, 250221",Meerut,Uttar Pradesh,250221,9411964963,Operational
PMBJK02533,"179, Nagla Battu, Post - Saket, Ps- Civil Lines, Meerut, Uttar Pradesh, 250001",Meerut,Uttar Pradesh,250001,9368369384,Operational
PMBJK03691,"322/1, Shiv Shakti Nagar, BrahmpuriNear Jenis Palace Gate No-2, Meerut, Up 250002",Meerut,Uttar Pradesh,250002,8532942930,Operational
PMBJK03705,"H. No-73, Shop No-1, Umar Nagar, Near Nambardar Petrol Pump, Hapur Road, Meerut Up. 250002",Meerut,Uttar Pradesh,250002,9412529845,Operational
PMBJK03858,"Ha-386, Ganga Nagar, Meerut, Uttar Pradesh",Meerut,Uttar Pradesh,250001,9719735448,Operational
PMBJK03994,P.L. Sharma District Hospital,Meerut,Uttar Pradesh,250003,8057755082,Operational
PMBJK04100,"Shop No. 32, Ground Floor, Galariya Shoping Complex, Ansal Town Delhi Roorkee BY Pass, Modipjuram, Pallavpuram, Meerut",Meerut,Uttar Pradesh,250110,9897831190,Operational
PMBJK04119,"Shop No. G-15,16, Kirti Plaza, Jagriti Vihar, Near Medical College, Meerut",Meerut,Uttar Pradesh,250001,9412579627,Operational
PMBJK04633,"Shop No. 15, Sai Market, Vill. Rampur, Pawati Main By Pass Near Miet",Meerut,Uttar Pradesh,250002,9045571012,Operational
PMBJK04745,"Memorial Medical College, Meerut",Meerut,Uttar Pradesh,250002,8953969777,Operational
PMBJK05098,"Plot No-124, Shop No-1, Vasundhra Colony, K Block, Medical College, Meerut",Meerut,Uttar Pradesh,250004,8979337982,Operational
PMBJK05104,"156, Agency Wali Gali, Noor Nagar Lusahdi Road, Meerut",Meerut,Uttar Pradesh,250002,9760300800,Operational
PMBJK05174,"Odean Cinema Road, Hari Nagar, Ghanta Road",Meerut,Uttar Pradesh,250002,9759806962,Operational
PMBJK05280,"Shop No-27, Near Peer Baba Rithani",Meerut,Uttar Pradesh,250002,9219732712,Operational
PMBJK05281,"Delhi Road, Ramlila Ground, Transport Nagar",Meerut,Uttar Pradesh,250002,639802223,Operational
PMBJK05282,"Shop No-27, Near Shri Baakey Bihari Shop, Lawar Road, Daurala, Meerut",Meerut,Uttar Pradesh,250342,9912634563,Operational
PMBJK05302,"Shop No-1, Part of 2/187, Adash Nagar, Kankar Khera, Meerut",Meerut,Uttar Pradesh,250001,9555344158,Operational
PMBJK05473,"Shop No-6, Gulab Singh Bhawan, Raunak Pura, Railway Road, Ghanta Ghar",Meerut,Uttar Pradesh,250002,7417100202,Operational
PMBJK05518,"Shop No-4, Ground Floor, Garg Complex, 77/1, E.K. Road Chippi Tank, Kutchery, Meerut",Meerut,Uttar Pradesh,250001,8755004078,Operational
PMBJK05833,"Khasra No-247/1, Main Rohta Troad, Tejvihar, Anoop Nagar, Fazalpur",Meerut,Uttar Pradesh,250001,7900212622,Operational
PMBJK05850,"Rajendrapuram, Colony, Mawana Road, Ganga Nagar",Meerut,Uttar Pradesh,250001,7990303206,Operational
PMBJK05858,"Shop No-469, Roshanpur, Daurli, Roorkee Road",Meerut,Uttar Pradesh,250001,9997500188,Operational
PMBJK05897,"Shop No-36&37, Part-4, Moh. Mian Handia, Lalkurti",Meerut,Uttar Pradesh,250001,9759246096,Operational
PMBJK05914,"110, Bada Bazar, Kankar Khera, Near Cantt. Railway Station",Meerut,Uttar Pradesh,250001,9012285569,Operational
PMBJK05924,"Rajban Mohalla, Main Market, Meerut Cantt.",Meerut,Uttar Pradesh,250002,7017877438,Operational
PMBJK06200,"Shyam Nagar, Main Road, Sajid Akhlak Masjid Ke Samne, Pillokdi Ka Pull",Meerut,Uttar Pradesh,250002,8126393413,Operational
PMBJK06421,"Shop No-23, Ground Floor, S2S Square, At Garh Road, Gandhi Ashram",Meerut,Uttar Pradesh,250002,9760975262,Operational
PMBJK06524,"8, CPNo-124/6, Tanvi Plaza, Jagrati Vihar, P.O. Medical",Meerut,Uttar Pradesh,250004,9412529845,Operational
PMBJK06758,"Shop No-129, 6, Shastri Nagar",Meerut,Uttar Pradesh,250004,,Operational
PMBJK06841,"Vaishno Plaza C-110/1, Jagriti Vihar, Garh Road, Opp. Anand Hospital",Meerut,Uttar Pradesh,250004,,Operational
PMBJK06866,"67 B/2, Gagol Road, Opp. Vanasthali",Meerut,Uttar Pradesh,250103,,Operational
PMBJK06933,"Bhopal Vihar, Near SGM Public School, Medical College",Meerut,Uttar Pradesh,250004,,Operational
PMBJK06934,"167, Shashtri Nagar, Medical College",Meerut,Uttar Pradesh,250004,,Operational
PMBJK06960,"Khatkhanapul, Keshoru Khera, Meenakshipuram, Ganga Nagar",Meerut,Uttar Pradesh,250001,,Operational
PMBJK06967,"Main Hapur Road, Near Bus Stand",Meerut,Uttar Pradesh,245206,,Operational
PMBJK07003,"Singh Bharat Gas Agency Garhroad, Opp. Bhai Transport, Kithore",Meerut,Uttar Pradesh,250104,,Operational
PMBJK07098,"Town Harra, Sardhana",Meerut,Uttar Pradesh,250342,,Operational
PMBJK07202,"Chandrasan Bhawan, Near Syndicate Bank, Main Road, Phawalada",Meerut,Uttar Pradesh,250401,,Operational
PMBJK07257,"701/22, Zakir Hussain Colony, Fatehullah Pur Road, Ram Nagar Mohalla",Meerut,Uttar Pradesh,250002,,Operational
PMBJK07299,"Shop No-1, Opp-Maliyana Police Chowki, Baghpat Road, Kishanpora",Meerut,Uttar Pradesh,250002,,Operational
PMBJK07361,"H-151, Gokulpur-2, Datawali",Meerut,Uttar Pradesh,250004,,Operational
PMBJK07367,"104-A, Swaraj Path, Near Chota Jain Mandir, Dholki Mohalla",Meerut,Uttar Pradesh,250001,,Operational
PMBJK07369,"Kitholi, Baghpat Road",Meerut,Uttar Pradesh,250501,,Operational
PMBJK07539,"Mohar Singh Market, Bijli Bumba Bypass, Jamuna Nagar, Hapur Road, Ghosipur, Meerut",Meerut,Uttar Pradesh,250002,,Operational
PMBJK07606,"Sector-08, Peth Road, Jagrati Vihar, Garh Road, Meerut",Meerut,Uttar Pradesh,250004,,Operational
PMBJK07664,"Vedyaspuri, Opp Shubharti Hospital, Byepass, Meerut",Meerut,Uttar Pradesh,250003,,Operational
PMBJK07671,"21/1, New Arya Nagar, Jail Chungi",Meerut,Uttar Pradesh,250001,,Operational
PMBJK07707,"Shop No-33, Ashok Nagar, Opp Nangla Tashi Gate, Sardana Road, Kankerkhera, Meerut Cantt.",Meerut,Uttar Pradesh,250001,,Operational
PMBJK07708,"E-5, Shastri Nagar Meerut, Medical",Meerut,Uttar Pradesh,250004,,Operational
PMBJK07721,"Husaini Chowk, Klla Road, Abdullapur",Meerut,Uttar Pradesh,250001,,Operational
PMBJK07894,"Ram Manohar Lohiya Nagar Opp. Satyakam School, K-Block",Meerut,Uttar Pradesh,250002,,Operational
PMBJK08132,"Mithapur Road, Main Chauraha Lawar, Khas Lawar",Meerut,Uttar Pradesh,250222,,Operational
PMBJK08133,"Garh Road, Opp PRD Higher Secondary Rajpura, Sisauli School, Sisauli",Meerut,Uttar Pradesh,250004,,Operational
PMBJK08165,"Shop No-25, Ramlila Committee Market, Ram Lila Ground Road",Meerut,Uttar Pradesh,250342,,Operational
PMBJK08335,"Shop No-1, H. No-30, Near Kotwali, Old Tehsil, Muftiwara, Ghanta Ghar",Meerut,Uttar Pradesh,250002,,Operational
PMBJK08385,"Near PNB Bank, Mawana Road, Incholi",Meerut,Uttar Pradesh,250001,,Operational
PMBJK08388,"Bhagat Singh Chowk, Khajuri Gate, Kila Mawana",Meerut,Uttar Pradesh,250406,,Operational
PMBJK08390,"Mohiuddinpur, Near Sugar Mill",Meerut,Uttar Pradesh,250205,,Operational
PMBJK08391,"Khasra No-3, 255/15, Shivlok-2, Pargana, Kankar Khera",Meerut,Uttar Pradesh,250001,,Operational
PMBJK08428,"Shop No-11, Tejpal Market, Kasaru Buxer",Meerut,Uttar Pradesh,250001,,Operational
PMBJK08525,"Chota Hasanpur, Garh Road, Near Police Chowki",Meerut,Uttar Pradesh,250004,,Operational
PMBJK02377,"Sd- 366 Near Carte Chauk, Opp. Delhi Sweet, Shastri Nagar, Ghaziabad(Up) 201002",Ghaziabad,Uttar Pradesh,201002,9911016446,Operational
PMBJK02378,"9, Lower Bazar, Near Modimandir, Opp. Sugar Mill, Modi Nagar, Up 201204",Ghaziabad,Uttar Pradesh,201204,7088802848,Operational
PMBJK02379,"A – 81, Dlf Dilshad Extn –II, Sahibabad",Ghaziabad,Uttar Pradesh,201005,9125561688,Operational
PMBJK02380,"Shop No-6, Plot No-A-1, Ganeshpuri Near Shiv Chowk Shalimar Garden Sahibabad 201005",Ghaziabad,Uttar Pradesh,201005,9810767329,Operational
PMBJK02381,"Sd-01, Jaipuria Sunrise Plaza, Po- Indirapuram, Ps- Indirapuram, Ghaziabad- 201014",Ghaziabad,Uttar Pradesh,201014,9891505332,Operational
PMBJK02382,"88, Near Tempo Stand, Nai Basti, Ghukna Mor, Meerut Road, Po- Mariyam Nagar, Ps- Sihani Gate 201003",Ghaziabad,Uttar Pradesh,201003,8826986964,Operational
PMBJK02383,"Shop No-9, Soma Trade Centre, Ambedkar Road, P. O. Maliwara Chwok, P. S. Sihani Gate, Ghaziabad, 201001",Ghaziabad,Uttar Pradesh,201001,,Operational
PMBJK02384,"Shop No-07, Hari Niwas Near Bhatia More, Bulandshahr, GtRoad, Po City Post Office, Ps Ghanta Ghar, Ghaziabad 201001",Ghaziabad,Uttar Pradesh,201001,9897575556,Operational
PMBJK02385,R-72 Rail Enclave Sec-12 Po. Pratap Vihar Dist. Ghaziabad 201001,Ghaziabad,Uttar Pradesh,201001,,Operational
PMBJK02386,D-38 Ashram Road Nandgram Po. Nandgarm Sihani Gate Ghaziabad 201003,Ghaziabad,Uttar Pradesh,201003,9410517517,Operational
PMBJK02387,"E98, Nehru Nagar, Po Model Town, Sihani Gate, Ghaziabad 201001",Ghaziabad,Uttar Pradesh,201001,9873772270,Operational
PMBJK02388,"Shop No-04, D-258, Govindpuram, Po- Govindpuram, Ps- Kavi Nagar, Ghaziabad, Uttar Pradesh, 201001",Ghaziabad,Uttar Pradesh,201001,9717591791,Operational
PMBJK02389,"Shop No-11, First Floor, Panchsheel Square Mall, Po- Corssing Republic, Ps- Vijay Nagar, Ghaziabad, Uttar Pradesh, 201009",Ghaziabad,Uttar Pradesh,201009,8826463937,Operational
PMBJK02390,"Near Sikri Fatak Modinagar, Po- Modinagar, Ps- Modinagar, Ghaziabad, Uttar Pradesh, 201204",Ghaziabad,Uttar Pradesh,201204,8923051379,Operational
PMBJK02644,"Inder Garhi Main Hapur Road, Po- Kavi Nagar, Ps- Kavi Nagar, Ghaziabad, Uttar Pradesh",Ghaziabad,Uttar Pradesh,201001,9457875853,Operational
PMBJK02826,"D- 197, Sanjay Nagar, Po - Kavi Nagaar, Po- Kavi Nagar, Ps - Kavi Nagar, Ghaziabad, Uttar Pradesh 201002",Ghaziabad,Uttar Pradesh,201002,9810912550,Operational
PMBJK03052,"R-12/73, Raj Nagar, Po, Ps-Kavi Nagar, Ghaziabad",Ghaziabad,Uttar Pradesh,201002,9971722393,Operational
PMBJK03103,"8/1 Gf-1, Chiranjeev Vihar, Po- Ghaziabad, Ps- Kavi Nagar, Ghaziabad, Uttar Pradesh",Ghaziabad,Uttar Pradesh,201002,9999310232,Operational
PMBJK03161,"Shop No-2, Nasirpur, Rakesh Marg, Po- Neharu Nagar, Ps- Sihani Gate, Ghaziabad, Uttar Pradesh",Ghaziabad,Uttar Pradesh,201001,9871199230,Operational
